,Positive Score,Negative Score,Player,Pos,Squad,Season,Comp,PlayerScore
192,18.763796676493776,0.7776626727333287,Mattia Bani,DF,Genoa,2023,Serie A,17.986134003760448
193,-14.618362166460786,6.0789160133108044,Léo Baptistão,FW,Almería,2023,La Liga,-20.69727817977159
194,-24.342449126580497,-6.740998884465443,Shandon Baptiste,MF,Brentford,2023,Premier League,-17.601450242115053
195,-25.728641291325264,-5.3433138258808475,Antonín Barák,MF,Fiorentina,2023,Serie A,-20.385327465444416
196,-34.93342609184238,-5.381093547735268,Bradley Barcola,FW,Lyon,2023,Ligue 1,-29.55233254410711
197,13.124952770153698,8.594607441308694,Bradley Barcola,"FW,MF",Paris S-G,2023,Ligue 1,4.530345328845003
198,42.08718658572909,4.394970981035791,Melvin Bard,DF,Nice,2023,Ligue 1,37.6922156046933
199,62.862039674358016,3.9228438239478445,Nicolò Barella,MF,Inter,2023,Serie A,58.93919585041017
200,-29.504473173939022,-4.663558456414473,Kike Barja,"FW,MF",Osasuna,2023,La Liga,-24.840914717524548
201,44.87206051570081,6.792949511092564,Ross Barkley,MF,Luton Town,2023,Premier League,38.079111004608244
202,-29.055223009841896,-4.653922163896962,Aymen Barkok,"MF,FW",Mainz 05,2023,Bundesliga,-24.401300845944935
203,-16.644885237956263,-5.488587801819878,Harvey Barnes,FW,Newcastle Utd,2023,Premier League,-11.156297436136384
204,11.71513833628373,4.53994375695953,Leandro Barreiro Martins,MF,Mainz 05,2023,Bundesliga,7.1751945793242
205,34.804650911885204,5.505425296967765,Enzo Barrenechea,MF,Frosinone,2023,Serie A,29.29922561491744
206,-5.758275302029891,1.9643418599106066,Ander Barrenetxea,"FW,MF",Real Sociedad,2023,La Liga,-7.722617161940498
207,7.600566625218377,1.7074672696765525,Pablo Barrios,MF,Atlético Madrid,2023,La Liga,5.893099355541825
208,-41.99863583820957,-5.948863422076222,Davide Bartesaghi,"DF,MF",Milan,2023,Serie A,-36.04977241613335
209,-31.81924240118414,-9.441464476245184,Marc Bartra,DF,Betis,2023,La Liga,-22.377777924938957
210,20.721006381143376,3.281720295632301,Federico Baschirotto,DF,Lecce,2023,Serie A,17.439286085511075
211,-43.87795188319709,-10.431542766883656,Steven Baseya,DF,Strasbourg,2023,Ligue 1,-33.44640911631343
212,-35.24239794174948,-7.298451805993387,Chris Basham,"DF,MF",Sheffield Utd,2023,Premier League,-27.943946135756093
213,-17.837609090748785,-5.513412153181777,Toma Bašić,MF,Salernitana,2023,Serie A,-12.324196937567008
214,19.62813771088095,6.167401225334357,Calvin Bassey,DF,Fulham,2023,Premier League,13.460736485546592
215,45.96412340673572,-1.7747813496435996,Alessandro Bastoni,DF,Inter,2023,Serie A,47.73890475637932
216,-22.89179032193852,-4.770056709050429,Simone Bastoni,"DF,MF",Empoli,2023,Serie A,-18.12173361288809
217,-15.30758415902439,-4.57073612509103,Maximilian Bauer,DF,Augsburg,2023,Bundesliga,-10.73684803393336
218,-48.185594067505875,-6.053129222022998,Elias Baum,"DF,MF",Eint Frankfurt,2023,Bundesliga,-42.13246484548288
